"cds","stype","name","sname","snum","dname","dnum","cname","cnum","flag","pcttest","api00","api99","target","growth","sch.wide","comp.imp","both","awards","meals","ell","yr.rnd","mobility","acs.k3","acs.46","acs.core","pct.resp","not.hsg","hsg","some.col","col.grad","grad.sch","avg.ed","full","emer","enroll","api.stu","pw","fpc"
"57726946056352","E","Elkhorn Village","Elkhorn Village Elementary",6157,"Washington Unified",787,"Yolo",56,,100,475,411,19,64,"Yes","Yes","Yes","Yes",90,43,,25,23,26,,100,54,31,13,3,0,1.63999998569489,90,3,393,368,30.97,6194
"33670903337136","H","Rubidoux High","Rubidoux High",3425,"Jurupa Unified",328,"Riverside",32,,91,533,527,14,6,"No","No","No","No",37,8,,14,,,29,85,25,22,30,19,4,2.55999994277954,85,13,1780,1461,30.97,6194
"10621666111231","E","Anthony (Susan ","Anthony (Susan B.) Elementary",698,"Fresno Unified",253,"Fresno",9,,99,427,443,18,-16,"No","No","No","No",100,59,"No",28,19,27,,93,59,27,9,5,1,1.61000001430511,95,12,594,533,30.97,6194
"36675876035174","E","Adelanto Elemen","Adelanto Elementary",3895,"Adelanto Elementary",5,"San Bernardino",35,,98,536,464,17,72,"Yes","Yes","Yes","Yes",97,38,,31,19,25,,76,50,21,23,5,2,1.87000000476837,86,14,334,246,30.97,6194
"43696746048870","E","Mayne (George) ","Mayne (George) Elementary",5399,"Santa Clara Unified",656,"Santa Clara",42,,99,504,490,16,14,"No","No","No","No",59,42,,13,19,30,,89,24,38,24,12,2,2.30999994277954,93,4,275,246,30.97,6194
"42692606045785","M","Orcutt Junior H","Orcutt Junior High",5147,"Orcutt Union Elementary",519,"Santa Barbara",41,,100,771,758,2,13,"Yes","Yes","Yes","Yes",21,3,,7,,,25,70,3,12,48,20,17,3.38000011444092,97,3,603,537,30.97,6194
"19647336100069","E","Balboa Gifted/H","Balboa Gifted/High Ability Magnet Elemen",2078,"Los Angeles Unified",401,"Los Angeles",18,,100,965,952,,13,"Yes","Yes","Yes","Yes",15,1,,21,19,32,,99,0,9,12,45,34,4.03999996185303,100,0,590,572,30.97,6194
"19647336018808","E","Purche Avenue E","Purche Avenue Elementary",1877,"Los Angeles Unified",401,"Los Angeles",18,,99,559,497,15,62,"Yes","Yes","Yes","Yes",78,8,,19,18,30,,29,2,25,29,40,5,3.22000002861023,77,29,451,400,30.97,6194
"43694844332839","H","Gilroy High","Gilroy High",5253,"Gilroy Unified",265,"Santa Clara",42,,93,590,602,10,-12,"No","No","No","No",26,22,,10,,,29,90,21,19,25,25,9,2.8199999332428,78,18,1732,1455,30.97,6194
"19753416022156","E","Washington Elem","Washington Elementary",2543,"Redondo Beach Unified",585,"Los Angeles",18,,100,745,615,9,130,"Yes","Yes","Yes","Yes",41,20,,16,19,30,,81,11,26,32,16,16,2.99000000953674,100,3,391,313,30.97,6194
"05615806111884","M","Avery Middle","Avery Middle",347,"Vallecito Union Elem",769,"Calaveras",4,,99,790,775,1,15,"Yes","No","No","No",22,0,,10,,26,26,76,4,18,35,28,16,3.33999991416931,100,0,419,352,30.97,6194
"19648656021356","E","Soleado Element","Soleado Elementary",2214,"Palos Verdes Penin. Unif.",536,"Los Angeles",18,,100,915,885,,30,"Yes","Yes","Yes","Yes",3,20,,16,17,34,,48,0,1,4,35,60,4.53999996185303,90,10,274,231,30.97,6194
"56726035636188","H","Simi Valley Hig","Simi Valley High",6056,"Simi Valley Unified",689,"Ventura",55,,98,734,751,2,-17,"No","No","No","No",8,3,,6,,,31,1,7,21,21,43,7,3.21000003814697,98,1,1589,1490,30.97,6194
"43696256067243","E","Santa Teresa El","Santa Teresa Elementary",5324,"Oak Grove Elementary",501,"Santa Clara",42,,96,787,756,2,31,"Yes","No","No","No",20,16,,21,20,31,,93,8,21,25,34,13,3.23000001907349,71,18,348,271,30.97,6194
"30666476097018","E","Tynes (John O.)","Tynes (John O.) Elementary",3111,"Placentia-Yorba Linda",556,"Orange",29,,100,579,553,12,26,"Yes","Yes","Yes","Yes",70,51,,16,20,31,,0,0,0,100,0,0,3,100,3,712,637,30.97,6194
"36750696037238","E","Foothill Knolls","Foothill Knolls Elementary",4236,"Upland Unified",763,"San Bernardino",35,,100,737,664,7,73,"Yes","Yes","Yes","Yes",36,6,,18,20,30,,94,9,26,35,18,11,2.96000003814697,100,0,387,290,30.97,6194
"01611766000640","E","Green (Harvey) ","Green (Harvey) Elementary",59,"Fremont Unified",248,"Alameda",1,,100,719,702,5,17,"Yes","No","No","No",24,6,,22,21,30,,98,13,33,25,20,8,2.78999996185303,90,10,361,296,30.97,6194
"36750696037253","M","Pioneer Junior ","Pioneer Junior High",4238,"Upland Unified",763,"San Bernardino",35,,99,794,776,1,18,"Yes","Yes","Yes","Yes",7,2,,10,,,33,97,2,11,27,37,22,3.67000007629395,86,14,943,837,30.97,6194
"01611926113815","E","Hayward Project","Hayward Project Elem",117,"Hayward Unified",294,"Alameda",1,,97,596,578,11,18,"Yes","No","No","No",53,6,,47,21,25,,91,3,32,31,25,8,3.04999995231628,50,13,132,113,30.97,6194
"19647336097927","E","Open Magnet: Ce","Open Magnet: Center for Individual (Char",2077,"Los Angeles Unified",401,"Los Angeles",18,,99,840,816,,24,"Yes","No","No","No",33,25,,11,20,29,,0,0,0,0,0,0,,100,0,276,241,30.97,6194
"43695186047492","E","Santa Rita Elem","Santa Rita Elementary",5272,"Los Altos Elementary",399,"Santa Clara",42,,99,952,926,,26,"Yes","Yes","Yes","Yes",3,7,,13,19,27,,97,1,2,9,27,61,4.44999980926514,96,4,351,292,30.97,6194
"28662666026769","E","Alta Heights El","Alta Heights Elementary",2813,"Napa Valley Unified",478,"Napa",27,,100,794,760,2,34,"Yes","Yes","Yes","Yes",20,3,,9,19,31,,89,5,19,36,27,14,3.25999999046326,100,3,372,355,30.97,6194
"07617136003792","E","Springhill Elem","Springhill Elementary",382,"Lafayette Elementary",352,"Contra Costa",6,,100,905,885,,20,"Yes","Yes","Yes","Yes",0,1,,12,20,28,,93,0,1,8,51,40,4.30999994277954,100,0,368,313,30.97,6194
"28662666058796","M","Silverado Middl","Silverado Middle",2831,"Napa Valley Unified",478,"Napa",27,,98,660,622,9,38,"Yes","No","No","No",36,8,,15,,,27,96,22,19,26,21,11,2.78999996185303,94,6,895,783,30.97,6194
"34674393431012","H","Burbank (Luther","Burbank (Luther) High",3729,"Sacramento City Unified",620,"Sacramento",33,,92,497,463,17,34,"Yes","Yes","Yes","Yes",53,42,,18,,,28,48,34,27,23,14,2,2.24000000953674,98,11,1632,1209,30.97,6194
"19647336019921","E","Westport Height","Westport Heights Elementary",1984,"Los Angeles Unified",401,"Los Angeles",18,,100,666,641,8,25,"Yes","Yes","Yes","Yes",59,23,,16,18,26,,55,6,23,27,42,2,3.10999989509583,75,9,414,369,30.97,6194
"39685446110373","E","Monticello Elem","Monticello Elementary",4790,"Jefferson Elementary",322,"San Joaquin",38,,100,801,750,3,51,"Yes","Yes","Yes","Yes",10,2,,22,16,,,99,2,10,39,31,17,3.50999999046326,97,7,226,166,30.97,6194
"19752916022487","E","Wilson Elementa","Wilson Elementary",2521,"San Gabriel Unified",633,"Los Angeles",18,,98,765,778,1,-13,"No","No","No","No",26,21,,14,19,29,,86,4,26,12,54,4,3.26999998092651,86,14,232,188,30.97,6194
"34674476034763","E","Sunrise Element","Sunrise Elementary",3847,"San Juan Unified",636,"Sacramento",33,,99,722,698,5,24,"Yes","No","No","No",45,4,,26,20,37,,93,10,67,14,6,3,2.25999999046326,94,0,267,224,30.97,6194
"07617546003966","E","Bancroft Elemen","Bancroft Elementary",402,"Mt. Diablo Unified",473,"Contra Costa",6,,100,893,845,,48,"Yes","Yes","Yes","Yes",7,4,,16,20,30,,84,0,3,14,39,43,4.21999979019165,93,4,382,312,30.97,6194
"45700526050405","E","Millville Eleme","Millville Elementary",5526,"Millville Elementary",447,"Shasta",44,,100,834,752,2,82,"Yes","Yes","Yes","Yes",41,0,,17,18,29,31,97,4,26,29,29,12,3.20000004768372,100,0,173,117,30.97,6194
"10621666006159","E","Columbia Elemen","Columbia Elementary",637,"Fresno Unified",253,"Fresno",9,,100,447,409,20,38,"Yes","Yes","Yes","Yes",100,51,,22,20,29,,84,61,19,15,4,2,1.66999995708466,100,7,396,344,30.97,6194
"39686763937406","H","Stagg Senior Hi","Stagg Senior High",4858,"Stockton City Unified",716,"San Joaquin",38,,97,582,551,12,31,"Yes","No","No","No",36,14,,10,,,30,94,34,19,26,17,3,2.35999989509583,89,10,2106,1701,30.97,6194
"16739326010565","E","Avenal Elementa","Avenal Elementary",1068,"Reef-Sunset Unified",588,"Kings",15,,100,410,372,21,38,"Yes","Yes","Yes","Yes",100,65,,30,18,29,,81,56,24,16,3,2,1.72000002861023,65,37,581,524,30.97,6194
"56726036084925","M","Hillside Middle","Hillside Middle",6078,"Simi Valley Unified",689,"Ventura",55,,99,728,704,5,24,"Yes","Yes","Yes","Yes",16,5,,41,,31,34,0,0,0,0,0,0,,100,0,1125,1058,30.97,6194
"34674396034276","E","Sutterville Ele","Sutterville Elementary",3774,"Sacramento City Unified",620,"Sacramento",33,,99,818,790,1,28,"Yes","Yes","Yes","Yes",28,15,,18,22,32,,70,4,13,22,33,28,3.6800000667572,100,4,351,323,30.97,6194
"19648656021257","M","Palos Verdes In","Palos Verdes Intermediate",2206,"Palos Verdes Penin. Unif.",536,"Los Angeles",18,,100,905,885,,20,"Yes","Yes","Yes","Yes",2,9,,8,,33,30,56,0,1,3,30,66,4.59999990463257,90,10,1168,1072,30.97,6194
"36738906104681","M","Fort Irwin Midd","Fort Irwin Middle",4205,"Silver Valley Unified",688,"San Bernardino",35,,100,698,675,6,23,"Yes","Yes","Yes","Yes",26,1,,58,,27,20,79,1,11,42,35,11,3.4300000667572,53,47,639,267,30.97,6194
"36676786035588","E","Walnut Avenue E","Walnut Avenue Elementary",3949,"Chino Valley Unified",131,"San Bernardino",35,,98,644,593,10,51,"Yes","Yes","Yes","Yes",52,23,"No",23,20,31,,71,21,29,32,15,4,2.52999997138977,84,14,659,533,30.97,6194
"10622651035310","H","Reedley High","Reedley High",708,"Kings Canyon Unified",339,"Fresno",9,,98,577,553,12,24,"Yes","Yes","Yes","Yes",62,24,,4,,,27,1,46,15,23,15,0,2.07999992370605,88,10,1418,1022,30.97,6194
"01612426001622","E","Searles Element","Searles Elementary",148,"New Haven Unified",484,"Alameda",1,,100,677,649,8,28,"Yes","No","No","No",40,31,,13,20,29,,97,20,25,28,17,10,2.71000003814697,100,0,716,615,30.97,6194
"01612596001853","E","Glenview Elemen","Glenview Elementary",177,"Oakland Unified",507,"Alameda",1,,97,633,618,9,15,"Yes","No","No","No",60,32,,9,20,31,,54,11,19,37,20,13,3.05999994277954,96,4,276,247,30.97,6194
"20652436023980","E","Madison Element","Madison Elementary",2559,"Madera Unified",415,"Madera",19,,100,479,397,20,82,"Yes","Yes","Yes","Yes",92,45,"No",26,20,36,,99,53,39,7,1,0,1.55999994277954,88,20,318,274,30.97,6194
"30666476029995","E","Brookhaven Elem","Brookhaven Elementary",3091,"Placentia-Yorba Linda",556,"Orange",29,,100,852,829,,23,"Yes","Yes","Yes","Yes",4,1,,8,20,35,,1,0,0,0,33,67,4.67000007629395,100,0,344,310,30.97,6194
"19649071937028","H","Pomona Senior H","Pomona Senior High",2261,"Pomona Unified",570,"Los Angeles",18,,98,509,483,16,26,"Yes","Yes","Yes","Yes",68,40,,18,,,29,85,42,24,20,11,2,2.07999992370605,74,26,1264,991,30.97,6194
"01612596002216","E","Thornhill Eleme","Thornhill Elementary",208,"Oakland Unified",507,"Alameda",1,,96,884,867,,17,"Yes","No","No","No",6,8,,8,19,29,,94,2,5,13,25,55,4.26000022888184,100,0,227,185,30.97,6194
"56725536055396","E","Camarillo Heigh","Camarillo Heights Elementary",6027,"Pleasant Valley Elem",564,"Ventura",55,,99,813,785,1,28,"Yes","Yes","Yes","Yes",7,2,,17,20,31,,99,2,8,27,59,4,3.53999996185303,95,5,346,314,30.97,6194
"19650606023287","E","Victor Elementa","Victor Elementary",2366,"Torrance Unified",744,"Los Angeles",18,,99,813,748,3,65,"Yes","Yes","Yes","Yes",21,31,,23,18,34,,95,3,15,26,33,23,3.58999991416931,92,12,682,495,30.97,6194
"38684786072052","M","Potrero Hill Mi","Potrero Hill Middle",4773,"San Francisco Unified",632,"San Francisco",37,,83,482,472,16,10,"No","No","No","No",60,31,,11,,14,17,76,13,42,23,20,2,2.55999994277954,80,10,453,316,30.97,6194
"17640556105456","E","Cobb Mountain E","Cobb Mountain Elementary",1088,"Middletown Unified",444,"Lake",16,,89,804,775,1,29,"Yes","Yes","Yes","No",28,0,,23,22,30,,83,6,35,29,20,10,2.92000007629395,100,0,207,147,30.97,6194
"27659956026082","E","Chualar Element","Chualar Elementary",2739,"Chualar Union Elementary",134,"Monterey",26,,100,447,404,20,43,"Yes","Yes","Yes","Yes",97,82,,12,19,26,,55,58,20,11,7,4,1.78999996185303,72,0,217,189,30.97,6194
"33752426111033","M","Vista Verde Mid","Vista Verde Middle",3606,"Val Verde Unified",767,"Riverside",32,,98,630,628,9,2,"No","No","No","No",44,8,,17,,33,32,97,14,21,38,19,9,2.89000010490417,78,22,1252,965,30.97,6194
"10752756111553","M","Foothill Middle","Foothill Middle",764,"Sierra Unified",686,"Fresno",9,,100,739,735,3,4,"Yes","No","No","No",37,0,,12,,28,26,84,7,34,25,19,15,3.00999999046326,100,0,446,387,30.97,6194
"33670826032106","E","Hemet Elementar","Hemet Elementary",3412,"Hemet Unified",298,"Riverside",32,,100,658,634,8,24,"Yes","Yes","Yes","Yes",86,21,"No",25,20,31,,90,32,36,24,6,2,2.09999990463257,90,6,611,486,30.97,6194
"19734526022388","E","Villacorta Elem","Villacorta Elementary",2497,"Rowland Unified",619,"Los Angeles",18,,100,564,519,14,45,"Yes","Yes","Yes","Yes",81,50,,18,20,28,,55,33,29,24,11,3,2.23000001907349,63,35,596,504,30.97,6194
"07618046108161","E","Golden View Ele","Golden View Elementary",526,"San Ramon Valley Unified",650,"Contra Costa",6,,100,894,860,,34,"Yes","Yes","Yes","Yes",0,3,,9,20,31,,99,0,4,10,41,45,4.28000020980835,89,11,390,356,30.97,6194
"36677106114052","E","Date Elementary","Date Elementary",4028,"Fontana Unified",238,"San Bernardino",35,,96,460,429,19,31,"Yes","Yes","Yes","Yes",93,49,"No",23,19,30,,14,51,24,17,8,0,1.83000004291534,76,24,483,409,30.97,6194
"15634796112783","E","Columbia Elemen","Columbia Elementary",947,"Fruitvale Elementary",254,"Kern",14,,100,787,770,2,17,"Yes","Yes","Yes","Yes",19,1,,20,20,30,,81,1,17,39,27,16,3.39000010490417,92,8,381,310,30.97,6194
"19734376012389","E","Roosevelt Eleme","Roosevelt Elementary",2434,"Compton Unified",153,"Los Angeles",18,,100,494,485,16,9,"No","No","No","No",97,71,,20,20,32,,46,39,36,13,11,1,1.98000001907349,26,78,933,847,30.97,6194
"10752756005755","E","Auberry Element","Auberry Elementary",763,"Sierra Unified",686,"Fresno",9,,100,772,698,5,74,"Yes","Yes","Yes","Yes",37,0,,11,19,22,,83,8,34,28,17,14,2.95000004768372,100,0,253,233,30.97,6194
"33669776031595","M","Wells Intermedi","Wells Intermediate",3352,"Alvord Unified",19,"Riverside",32,,97,537,513,14,24,"Yes","No","No","No",52,37,,20,,,30,91,41,26,24,9,1,2.03999996185303,59,38,841,640,30.97,6194
"01613096002547","E","Dayton Elementa","Dayton Elementary",253,"San Lorenzo Unified",638,"Alameda",1,,99,676,622,9,54,"Yes","Yes","Yes","Yes",27,26,,17,21,32,,75,12,24,37,23,4,2.8199999332428,100,0,397,325,30.97,6194
"30664806027866","E","Cawthon (Robert","Cawthon (Robert C.) Elementary",2930,"Cypress Elementary",171,"Orange",29,,100,868,834,,34,"Yes","Yes","Yes","Yes",19,5,,8,20,30,,100,4,17,42,37,0,3.11999988555908,100,0,308,269,30.97,6194
"38684786041081","E","Golden Gate Ele","Golden Gate Elementary",4721,"San Francisco Unified",632,"San Francisco",37,,91,544,496,15,48,"Yes","Yes","Yes","No",84,54,,7,18,20,,82,35,42,14,6,2,1.98000001907349,58,21,215,190,30.97,6194
"42691466045314","E","Main Elementary","Main Elementary",5108,"Carpinteria Unified",112,"Santa Barbara",41,,100,740,721,4,19,"Yes","Yes","Yes","Yes",42,29,,9,20,30,,91,22,15,28,22,13,2.88000011444092,94,6,339,307,30.97,6194
"19642956011589","E","Erwin (Thomas E","Erwin (Thomas E.) Elementary",1187,"Bassett Unified",48,"Los Angeles",18,,100,584,530,14,54,"Yes","Yes","Yes","Yes",82,28,,14,21,34,,1,60,20,0,20,0,1.79999995231628,68,32,532,476,30.97,6194
"19645926014013","E","York Elementary","York Elementary",1393,"Hawthorne Elementary",293,"Los Angeles",18,,98,548,485,16,63,"Yes","Yes","Yes","Yes",90,58,"No",22,19,27,,90,30,33,28,6,2,2.17000007629395,47,49,574,447,30.97,6194
"44697996049829","E","Alianza Element","Alianza Elementary",5473,"Pajaro Valley Joint Unif",529,"Santa Cruz",43,,100,382,404,20,-22,"No","Yes","No","No",70,84,,18,19,29,,98,56,24,10,4,5,1.77999997138977,81,14,443,391,30.97,6194
"37683386039267","E","Boone Elementar","Boone Elementary",4486,"San Diego City Unified",630,"San Diego",36,,99,706,701,5,5,"Yes","No","No","No",62,15,,13,21,28,,87,12,27,27,29,6,2.90000009536743,100,2,645,598,30.97,6194
"34673146033005","E","Mack (Charles E","Mack (Charles E.) Elementary",3620,"Elk Grove Unified",209,"Sacramento",33,,100,584,527,14,57,"Yes","Yes","Yes","Yes",82,36,"No",30,21,31,,87,23,33,35,7,3,2.33999991416931,91,6,728,607,30.97,6194
"07617960730291","H","Middle College ","Middle College High",456,"West Contra Costa Unified",796,"Contra Costa",6,,98,754,755,2,-1,"No","No","No","No",21,12,,43,,,23,95,25,18,26,26,6,2.69000005722046,80,20,174,158,30.97,6194
"19647336019434","E","Tarzana Element","Tarzana Elementary",1936,"Los Angeles Unified",401,"Los Angeles",18,,99,638,531,13,107,"Yes","Yes","Yes","Yes",74,33,,15,18,31,,53,11,30,19,38,2,2.89000010490417,54,50,346,298,30.97,6194
"37683386112726","E","Dingeman (Rober","Dingeman (Robert E.) Elementary",4596,"San Diego City Unified",630,"San Diego",36,,99,883,864,,19,"Yes","Yes","Yes","Yes",4,3,,9,20,30,,93,1,10,9,52,28,3.98000001907349,97,3,556,526,30.97,6194
"19647336058093","M","Lawrence (Ernes","Lawrence (Ernest) Middle",2020,"Los Angeles Unified",401,"Los Angeles",18,,98,660,642,8,18,"Yes","No","No","No",52,22,,14,,32,31,71,12,17,25,36,10,3.14000010490417,77,16,1911,1647,30.97,6194
"43695836095384","M","Britton (Lewis ","Britton (Lewis H.) Middle",5297,"Morgan Hill Unified",464,"Santa Clara",42,,98,708,716,4,-8,"No","No","No","No",20,13,,13,,,29,35,3,12,29,29,28,3.67000007629395,94,6,1135,989,30.97,6194
"34674396034169","E","Nicholas Elemen","Nicholas Elementary",3764,"Sacramento City Unified",620,"Sacramento",33,,99,607,529,14,78,"Yes","Yes","Yes","Yes",100,41,,29,22,33,,68,33,44,16,7,1,2,100,9,429,357,30.97,6194
"15635036009559","E","Fairview Elemen","Fairview Elementary",950,"Greenfield Union Elem",278,"Kern",14,,98,544,493,15,51,"Yes","Yes","Yes","Yes",94,15,,19,18,23,,98,67,23,8,1,1,1.44000005722046,94,6,336,279,30.97,6194
"01611926001069","E","Markham Element","Markham Elementary",101,"Hayward Unified",294,"Alameda",1,,100,607,604,10,3,"No","No","No","No",58,19,,22,19,32,,63,9,24,38,22,7,2.95000004768372,97,6,412,331,30.97,6194
"30666706099816","E","Greenville Fund","Greenville Fundamental",3145,"Santa Ana Unified",653,"Orange",29,,100,806,815,,-9,"Yes","No","No","No",32,14,,20,21,30,,77,10,24,43,14,9,2.88000011444092,91,9,695,673,30.97,6194
"33752426108047","E","Victoriano Elem","Victoriano Elementary",3603,"Val Verde Unified",767,"Riverside",32,,95,708,701,5,7,"Yes","No","No","No",44,7,,21,23,29,,99,15,28,34,18,5,2.70000004768372,86,7,457,348,30.97,6194
"20652436024012","E","La Vina Element","La Vina Elementary",2562,"Madera Unified",415,"Madera",19,,100,487,435,18,52,"Yes","Yes","Yes","Yes",97,86,,18,20,31,,77,84,15,2,0,0,1.17999994754791,93,0,213,186,30.97,6194
"37683386039630","E","Fulton Elementa","Fulton Elementary",4512,"San Diego City Unified",630,"San Diego",36,,100,682,615,9,67,"Yes","Yes","Yes","Yes",78,16,,19,19,30,,76,11,27,33,23,7,2.85999989509583,84,9,300,284,30.97,6194
"10621666006217","E","Ericson Element","Ericson Elementary",641,"Fresno Unified",253,"Fresno",9,,99,513,493,15,20,"Yes","No","No","No",88,37,,26,19,28,,64,35,29,24,10,2,2.14000010490417,100,2,551,482,30.97,6194
"19642126061220","M","Haskell (Pliny ","Haskell (Pliny Fisk) Middle",1121,"ABC Unified",1,"Los Angeles",18,,99,644,613,9,31,"Yes","No","No","No",36,14,,13,,,29,95,16,23,30,23,8,2.82999992370605,86,14,608,485,30.97,6194
"39686766042782","E","Tyler Skills El","Tyler Skills Elementary",4880,"Stockton City Unified",716,"San Joaquin",38,,99,625,578,11,47,"Yes","Yes","Yes","Yes",59,8,"No",19,19,28,,74,18,44,25,13,1,2.35999989509583,93,5,559,469,30.97,6194
"15636851531987","H","Desert Junior/S","Desert Junior/Senior High",993,"Muroc Joint Unified",476,"Kern",14,,100,720,704,5,16,"Yes","Yes","Yes","Yes",15,0,,21,,,27,99,0,17,38,34,11,3.38000011444092,79,18,533,417,30.97,6194
"15635291534775","H","North High","North High",969,"Kern Union High",334,"Kern",14,,97,547,529,14,18,"Yes","No","No","No",38,3,,8,,,26,93,15,31,33,17,4,2.65000009536743,99,11,1467,858,30.97,6194
"19647336017446","E","Hammel Street E","Hammel Street Elementary",1752,"Los Angeles Unified",401,"Los Angeles",18,,97,467,442,18,25,"Yes","Yes","Yes","Yes",100,70,,16,19,28,,65,52,32,9,6,1,1.73000001907349,77,17,621,528,30.97,6194
"37683386039143","E","Audubon Element","Audubon Elementary",4480,"San Diego City Unified",630,"San Diego",36,,100,612,528,14,84,"Yes","Yes","Yes","Yes",79,34,,15,20,31,,85,26,31,25,14,4,2.38000011444092,82,7,354,319,30.97,6194
"36678196036222","E","Edison Elementa","Edison Elementary",4062,"Ontario-Montclair Elem",513,"San Bernardino",35,,100,601,574,11,27,"Yes","Yes","Yes","Yes",65,40,,15,19,30,,96,30,27,27,13,2,2.29999995231628,92,8,338,304,30.97,6194
"24657716025621","E","Franklin Elemen","Franklin Elementary",2683,"Merced City Elementary",440,"Merced",23,,99,595,581,11,14,"Yes","No","No","No",82,45,"No",17,19,30,,98,29,22,34,13,2,2.36999988555908,91,6,497,461,30.97,6194
